IUSA Number,Y2019,Y2020,Y2021
21-728-0965,1,1,1
21-748-1456,1,1,1
21-748-3213,1,1,1
21-766-4119,1,1,1
21-793-0775,1,0,0
21-871-2388,1,1,1
21-871-5589,1,1,1
21-871-5977,1,1,1
21-871-7304,1,1,1
21-871-7940,1,1,1
21-871-7973,1,1,1
21-871-8948,1,1,1
21-871-9094,1,1,1
21-872-1892,1,1,1
21-872-3575,1,1,1
21-872-3625,1,1,1
21-872-4136,1,1,1
21-872-5885,1,1,1
21-872-6388,1,1,1
21-872-6933,1,1,1
21-872-7238,1,1,1
21-872-7246,1,0,0
21-872-7303,1,1,1
21-872-7592,1,1,1
21-872-7659,1,1,1
21-872-7709,1,1,1
21-872-7899,1,0,0
21-872-8038,1,1,1
21-872-8673,1,1,1
21-872-8699,1,1,1
21-872-8897,1,1,1
21-872-9101,1,1,1
21-873-0588,1,1,1
21-873-1180,1,1,1
21-873-2436,1,1,1
21-873-4150,1,1,1
21-873-5892,1,1,1
21-873-8011,1,1,1
21-873-8318,1,1,0
21-873-8748,1,1,1
21-873-9266,1,1,1
21-873-9399,0,1,0
21-873-9480,1,1,1
21-873-9498,1,1,1
21-873-9522,1,1,1
21-873-9662,1,1,1
21-873-9985,0,1,1
21-874-0017,1,1,1
21-874-6642,2,2,2
21-874-7004,1,0,1
21-945-5086,1,1,1
22-027-7933,1,1,1
22-027-8014,1,1,1
22-206-7837,1,1,1
22-239-4595,1,1,1
22-239-4868,1,1,1
22-239-5105,1,1,1
22-256-0385,1,0,0
22-274-0334,1,1,1
22-274-0367,1,1,1
22-402-4414,1,1,1
22-422-7074,1,1,1
22-422-7116,1,1,1
22-439-9949,1,1,1
22-440-0077,1,1,1
22-558-8904,1,1,1
22-558-8987,1,1,1
22-628-6565,1,1,1
22-789-6982,1,1,1
22-789-7287,0,1,1
22-789-7337,1,1,1
22-814-5330,1,1,1
22-947-5462,1,1,1
22-947-5561,1,1,1
22-953-8236,1,1,1
22-953-8277,1,1,1
22-971-4936,1,1,1
22-971-5222,1,1,1
23-219-9471,1,1,1
23-219-9687,1,1,1
23-418-4430,0,1,0
23-466-8887,1,1,1
23-466-9158,1,1,1
23-676-3918,1,1,1
23-691-0030,1,1,1
23-708-3829,1,1,1
23-868-1548,1,1,1
23-895-6114,1,1,1
24-060-7556,1,1,1
24-072-7040,1,1,1
24-072-7479,1,1,1
24-088-9063,1,1,1
24-212-1424,1,1,1
24-212-1572,1,1,1
24-212-1598,1,1,1
24-224-7070,1,1,0
24-224-7104,1,1,1
24-310-4700,1,1,1
24-310-4783,1,1,1
24-383-9511,1,1,1
24-383-9818,1,1,1
24-402-7736,1,1,1
24-495-6652,1,1,1
24-496-0365,1,1,1
24-496-1868,1,1,1
24-496-2338,1,1,1
24-496-5190,1,0,0
24-496-6529,1,1,1
24-496-6883,1,1,1
24-496-7170,1,1,1
24-496-7659,1,1,1
24-497-0265,1,1,1
24-497-0299,1,1,1
24-497-5249,1,1,1
24-578-5621,1,1,1
24-598-6120,1,1,0
24-618-4881,1,1,1
24-637-3559,1,1,0
24-755-6004,1,1,1
24-808-3545,1,1,1
24-960-8100,1,1,1
25-010-1102,1,1,1
25-136-9542,1,1,1
25-191-4487,1,0,0
25-205-6494,1,1,1
25-303-8590,1,1,1
25-317-2761,1,0,0
25-317-2878,1,1,1
25-353-3756,0,1,1
25-371-1840,1,1,1
25-671-5830,1,1,1
25-721-4924,1,1,1
25-721-5087,1,1,1
25-778-2896,1,1,1
25-845-3497,1,1,1
25-845-3802,1,0,0
25-877-0163,0,0,1
25-889-1795,1,1,1
26-037-9466,1,0,0
26-064-2996,1,1,1
26-181-2820,1,1,1
26-181-2903,1,1,1
26-200-3932,1,0,0
26-331-2985,1,1,1
26-444-1874,1,1,1
26-445-3267,1,1,1
26-620-1060,1,1,1
26-669-6434,1,1,1
26-911-1050,0,1,1
26-911-1670,1,1,1
30-020-5994,1,1,1
30-020-8717,1,1,1
30-322-5700,1,1,1
30-322-7375,1,1,1
30-483-1084,1,1,1
30-601-0786,1,1,1
30-601-1834,1,1,1
