IUSA Number,Y2019,Y2020,Y2021,Company Name,Address,City,State,ZIP Code,Primary SIC Description
11-832-2932,1,1,1,Mandy's Pizza Of Northside,3906 Perrysville Ave # 1,Pittsburgh,PA,15214,Restaurants
11-832-3104,1,1,1,Mattress Factory,500 Sampsonia Way,Pittsburgh,PA,15212,Museums
11-832-3112,1,1,1,Max's Allegheny Tavern,537 Suismon St,Pittsburgh,PA,15212,Restaurants
11-832-3500,1,1,1,Mt Troy Inn,2021 Mount Troy Rd,Pittsburgh,PA,15212,Restaurants
11-832-4185,1,1,0,Park House,403 E Ohio St,Pittsburgh,PA,15212,Restaurants
11-832-4789,1,1,1,Priory-A City Inn,614 Pressley St,Pittsburgh,PA,15212,Hotels & Motels
11-833-3699,1,1,1,Ali Baba Restaurant,404 S Craig St,Pittsburgh,PA,15213,Restaurants
11-833-4051,0,1,1,Arby's,3435 Forbes Ave,Pittsburgh,PA,15213,Restaurants
11-833-4424,1,1,1,Sciulli's Pizza,3404 5th Ave,Pittsburgh,PA,15213,Pizza
11-833-5322,1,1,0,Chief's Cafe,307 N Craig St,Pittsburgh,PA,15213,Bars
11-833-5744,1,1,1,Dave & Andy's Homemade Ice,207 Atwood St,Pittsburgh,PA,15213,Restaurants
11-833-6114,1,1,1,Zarra's A Taste-Southern Itlay,3887 Bigelow Blvd,Pittsburgh,PA,15213,Restaurants
11-833-7351,1,1,1,Hemingway's Cafe,3911 Forbes Ave,Pittsburgh,PA,15213,Bars
11-833-8383,1,1,1,Larry & Carols Pizza,410 Semple St,Pittsburgh,PA,15213,Pizza
11-833-8961,1,1,1,Mc Donald's,3708 Forbes Ave,Pittsburgh,PA,15213,Restaurants
11-833-9878,1,0,0,Original Hot Dog Shops Inc,3901 Forbes Ave,Pittsburgh,PA,15213,Restaurants
11-834-0041,1,1,1,Pamela's,3703 Forbes Ave,Pittsburgh,PA,15213,Restaurants
11-834-1031,1,1,1,Primanti Bros,3803 Forbes Ave,Pittsburgh,PA,15213,Restaurants
11-834-1486,1,1,1,Salim's Middle Eastern Food,4705 Centre Ave,Pittsburgh,PA,15213,General Merchandise-Retail
11-834-1486,1,1,1,Salim's Middle Eastern Food,4705 Centre Ave,Pittsburgh,PA,15213,
11-834-1890,1,1,1,Sorrento's Pizza,233 Atwood St,Pittsburgh,PA,15213,Restaurants
11-834-2047,1,1,1,St Nicholas Greek Orthodox,419 S Dithridge St,Pittsburgh,PA,15213,Churches
11-834-3219,2,2,2,Kevin's Deli,4415 5th Ave # 120,Pittsburgh,PA,15213,Restaurants
11-834-3219,2,2,2,Kevin's Deli,4415 5th Ave # 120,Pittsburgh,PA,15213,
11-835-2236,1,1,1,Arby's,1378 Banksville Rd,Pittsburgh,PA,15216,Restaurants
11-835-2467,1,1,1,Scoops Icecream,311 Beverly Rd,Pittsburgh,PA,15216,Ice Cream Parlors
11-835-2558,1,0,0,Italian Specialty Gourmet,1015 Brookline Blvd,Pittsburgh,PA,15226,Caterers
11-835-2707,1,1,1,Beto's Pizza & Restaurant,1473 Banksville Rd,Pittsburgh,PA,15216,Pizza
11-835-2707,1,1,1,Betos Pizza,1473 Banksville Rd,Pittsburgh,PA,15216,Pizza
11-835-2962,1,1,1,Cain's A Saloon,3239 W Liberty Ave,Pittsburgh,PA,15216,Restaurants
11-835-2962,1,1,1,Cain's-A Saloon,3239 W Liberty Ave,Pittsburgh,PA,15216,Restaurants
11-835-3036,1,1,1,Jose & Tony's Mexican Rstrnt,1573 Mcfarland Rd,Pittsburgh,PA,15216,Restaurants
11-835-3903,1,1,1,Eat'n Park,2874 W Liberty Ave,Pittsburgh,PA,15216,Restaurants
11-835-3911,1,1,1,Eat N Park Hospitality Gp,1250 Banksville Rd,Pittsburgh,PA,15228,Restaurants
11-835-3911,1,1,1,Eat'n Park,1250 Banksville Rd,Pittsburgh,PA,15228,Restaurants
11-835-3911,1,1,1,Eat'n Park,1250 Banksville Rd,Pittsburgh,PA,15216,Restaurants
11-835-4695,1,1,1,Dor-Stop Restaurant,1430 Potomac Ave,Pittsburgh,PA,15216,Restaurants
11-835-4810,1,1,1,Huddle,1648 Broadway Ave,Pittsburgh,PA,15216,Restaurants
11-835-5304,1,1,1,Knossos Gyros & Sis-Kabob,1439 Potomac Ave,Pittsburgh,PA,15216,Restaurants
11-835-5585,1,1,1,Little Nippers Pittsburgh,303 Beverly Rd,Pittsburgh,PA,15216,Pizza
11-835-5585,1,1,1,Nipper's Pizza,303 Beverly Rd,Pittsburgh,PA,15216,Pizza
11-835-8118,1,1,1,Angelina's Pizzeria,3263 W Liberty Ave,Pittsburgh,PA,15216,Pizza
11-835-9249,1,1,1,Hometowne Tavern,1915 Mccague St,Pittsburgh,PA,15218,Bars
