Version Year,IUSA Number,Company Name,Address,City,State,ZIP Code,Primary SIC Description
2020,40-254-1041,Kabob G Grill,3821 Willow Ave,Pittsburgh,PA,15234,Restaurants
2020,38-849-9675,Kamei Chinese Restaurant,2209 Murray Ave # 1,Pittsburgh,PA,15217,Restaurants
2020,40-423-5073,Kason's,311 4th Ave,Pittsburgh,PA,15222,Caterers
2020,94-608-9505,Kassab's Restaurant,1207 E Carson St,Pittsburgh,PA,15203,Restaurants
2020,41-555-5603,Katana Restaurant,3229 W Liberty Ave,Pittsburgh,PA,15216,Restaurants
2020,70-012-7678,Kavsar Restaurant,16 Southern Ave,Pittsburgh,PA,15211,Restaurants
2020,73-491-1293,Jdc Forbes,310 Forbes Ave,Pittsburgh,PA,15222,Restaurants
2020,43-593-9052,Jeff's Castle Place LLC,331 Mount Lebanon Blvd,Pittsburgh,PA,15234,Restaurants
2020,50-566-3146,Jekyl & Hyde,140 S 18th St,Pittsburgh,PA,15203,Restaurants
2020,42-195-3702,Jerome Bettis' Grille & Bar,393 N Shore Dr,Pittsburgh,PA,15212,Restaurants
2020,72-534-4389,Jerrys Pizzeria,2443 Wylie Ave,Pittsburgh,PA,15219,Restaurants
2020,74-777-9061,Jersey Mike's Subs,6508 Steubenville Pike,Pittsburgh,PA,15205,Restaurants
2020,42-754-1342,Jersey Mike's Subs,7390 Mcknight Rd,Pittsburgh,PA,15237,Restaurants
2020,70-711-2316,Jet's Pizza,1810 Dormont Ave,Pittsburgh,PA,15216,Pizza
2020,22-274-0334,Jimmy John's,502 Liberty Ave,Pittsburgh,PA,15222,Restaurants
2020,70-783-7271,Jimmy John's,4840 Mcknight Rd # C,Pittsburgh,PA,15237,Restaurants
2020,71-017-4121,Jimmy John's,5833 Forbes Ave,Pittsburgh,PA,15217,Restaurants
2020,71-745-0280,Jimmy John's,1027 Penn Ave,Pittsburgh,PA,15222,Restaurants
2020,71-763-0830,Jimmy John's,401 Home Dr,Pittsburgh,PA,15275,Restaurants
2020,58-872-7198,Jimmy John's,3444 Forbes Ave # Campus,Pittsburgh,PA,15213,Restaurants
2020,42-601-8139,Jimmy John's,1935 Settlers Ridge Center Dr,Pittsburgh,PA,15205,Restaurants
2020,42-602-1084,Jimmy John's,1717 E Carson St,Pittsburgh,PA,15203,Restaurants
2020,41-539-1131,Jimmy John's,501 Grant St # 140,Pittsburgh,PA,15219,Restaurants
2020,40-462-8944,Jimmy John's,6425 Penn Ave,Pittsburgh,PA,15206,Restaurants
2020,30-483-1084,Jimmy Sunseri & Nino Co,1901 Penn Ave # 1,Pittsburgh,PA,15222,Grocers-Ethnic Foods
2020,69-209-2190,Jimmy Wans,1337 Old Freeport Rd,Pittsburgh,PA,15238,Restaurants
2020,40-073-8498,Jimmy's Corporate Catering,110 Smithfield St # 2,Pittsburgh,PA,15222,Caterers
2020,94-615-7658,Jitters Cafe,5541 Walnut St,Pittsburgh,PA,15232,Coffee & Tea
2020,17-605-4674,Italian Village Pizza,600 Grant St # 9,Pittsburgh,PA,15219,Restaurants
2020,53-350-2514,Italian Village Pizza,5037 2nd Ave,Pittsburgh,PA,15207,Restaurants
2020,40-198-5628,Italian Village Pizza,4885 Mcknight Rd # 4,Pittsburgh,PA,15237,Restaurants
2020,60-335-1016,Italian Village Pizza,2713 Brownsville Rd,Pittsburgh,PA,15227,Restaurant Management
2020,43-520-6352,Itea Cafe,709 Bellefonte St,Pittsburgh,PA,15232,Coffee Shops
2020,00-866-7537,Ivy Restaurant,360 Castle Shannon Blvd,Pittsburgh,PA,15234,Restaurants
2020,21-872-3625,J & J Family Rstrnt & Caterer,300 Shiloh St,Pittsburgh,PA,15211,Restaurants
2020,83-147-5009,J Clark's,75 Blazier Dr,Pittsburgh,PA,15237,Restaurants
2020,71-201-7070,J Gough's Tavern,4213 Murray Ave,Pittsburgh,PA,15217,Bars
2020,40-217-3989,J L Stewarts Too,9755 Saltsburg Rd,Pittsburgh,PA,15239,Restaurants
2020,44-663-8421,Jack Rose Bar,1117 E Carson St,Pittsburgh,PA,15203,Bars
2020,43-159-3553,Jack's Southside Bar Inc,1117 E Carson St,Pittsburgh,PA,15203,Bars
2020,67-251-1334,Jackie's Casual Catering,184 Curry Hollow Rd,Pittsburgh,PA,15236,Caterers
2020,71-152-1939,Jacob Young LLC,2020 Murray Ave,Pittsburgh,PA,15217,Restaurants
2020,30-601-5330,Jade Garden Restaurant,450 William Pitt Way,Pittsburgh,PA,15238,Restaurants
2020,70-527-0953,Jade Grille,670 Washington Rd,Pittsburgh,PA,15228,Restaurants
2020,43-192-0648,Jagoff Pizza,2767 E Carson St,Pittsburgh,PA,15203,Restaurants
2020,43-413-6819,Jake & Sons Pizzeria,2147 Ardmore Blvd,Pittsburgh,PA,15221,Restaurants
